key	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29	y30	y31	y32	y33	y34	y35	y36	y37	y38	y39	y40	y41	y42	y43	y44	y45	y46	y47	y48	y49	y50	y51	y52	y53
1	0.612117	0.564988	0.420702	0.408295	0.165504	0.425904	0.926151	0.318677	0.937561	0.454179	0.051603	0.208703	0.138950	0.596935	0.579442	0.962729	0.867998	0.951340	0.905717	0.085336	0.228763	0.173036	0.220916	0.816929	0.344708	0.802761	0.599260	0.702520	0.552975	0.352715	0.443268	0.024656	0.410052	0.840997	0.184933	0.010606	0.112270	0.456863	0.194101	0.381114	0.062448	0.108632	0.714822	0.137676	0.176738	0.409036	0.547915	0.180324	0.928419	0.507731	0.057048	0.984820	0.410253	0.238109	0.559913	0.233406	0.011758	0.925598	0.605475	0.651333	0.671682	0.783780	0.653973	0.669933	0.661908	0.027221	0.059282	0.216596	0.802132	0.246842	0.566160	0.690860	0.933794	0.426780	0.822884	0.461350	0.117553	0.033147	0.401837	0.881391	0.369434	0.795121	0.760243	0.088875	0.685681	0.682574	0.871286	0.495310	0.467343	0.994472	0.816058	0.384643	0.390159	0.176077	0.762274	0.207378	0.246161	0.906707	0.130645	0.231186	0.441531	0.094435	0.158446	0.589577	0.128492	0.140242
2	0.014386	0.936962	0.734349	0.348568	0.179743	0.414859	0.617765	0.266792	0.729731	0.686264	0.287918	0.627195	0.117427	0.752509	0.813015	0.604993	0.817464	0.433093	0.550903	0.382482	0.824902	0.714294	0.463628	0.455446	0.514760	0.525190	0.834021	0.242214	0.497942	0.417540	0.190328	0.423837	0.822863	0.526822	0.369599	0.497575	0.100877	0.642106	0.577199	0.552002	0.914153	0.861452	0.492077	0.489237	0.266479	0.711013	0.486072	0.919129	0.024384	0.129079	0.790025	0.094687	0.006977	0.218718	0.003315	0.992463	0.047825	0.383414	0.986781	0.243330	0.083714	0.220682	0.653403	0.440864	0.612063	0.649179	0.324424	0.382861	0.382140	0.539034	0.036570	0.013885	0.686049	0.605426	0.218386	0.951135	0.097984	0.331640	0.097706	0.627044	0.331700	0.685464	0.936318	0.459977	0.581163	0.416679	0.068985	0.227268	0.943335	0.675495	0.228033	0.927336	0.136005	0.379606	0.557930	0.330569	0.363236	0.214090	0.392845	0.707939	0.729867	0.257722	0.736654	0.768529	0.728455	0.602954
3	0.725387	0.370597	0.497780	0.443538	0.587560	0.757716	0.094993	0.498316	0.948889	0.181232	0.829734	0.420493	0.882833	0.671861	0.898398	0.160024	0.415448	0.829462	0.108387	0.947275	0.659313	0.551690	0.199333	0.226574	0.637686	0.318017	0.469716	0.949411	0.114415	0.224279	0.437783	0.254010	0.361055	0.105522	0.107766	0.061382	0.006504	0.589834	0.633166	0.365238	0.706808	0.201233	0.847305	0.903781	0.626849	0.466013	0.903553	0.223704	0.714800	0.319755	0.686723	0.486488	0.462629	0.217373	0.035494	0.115742	0.042331	0.244648	0.329083	0.032075	0.383764	0.963204	0.618132	0.968759	0.114769	0.409594	0.087699	0.915495	0.646075	0.823973	0.593314	0.503569	0.590670	0.620322	0.391919	0.896572	0.119912	0.179474	0.760554	0.405253	0.615507	0.776211	0.706546	0.774111	0.762250	0.581650	0.435426	0.137644	0.954079	0.154605	0.244599	0.799772	0.824292	0.063297	0.080158	0.783415	0.862627	0.430976	0.393602	0.009249	0.591306	0.179610	0.275785	0.087754	0.737848	0.468356
4	0.582148	0.568269	0.125428	0.883631	0.398022	0.146982	0.339748	0.361650	0.994796	0.604967	0.452049	0.399593	0.645851	0.481199	0.604582	0.958139	0.382338	0.515737	0.795824	0.222274	0.602193	0.860080	0.263318	0.401815	0.602856	0.529079	0.592872	0.846934	0.445366	0.002050	0.009511	0.953383	0.891256	0.919149	0.273926	0.276617	0.439173	0.345835	0.709588	0.140521	0.261920	0.132761	0.343166	0.334270	0.437665	0.169401	0.449033	0.176461	0.874812	0.412131	0.146261	0.066071	0.617471	0.377239	0.027602	0.697852	0.946874	0.753921	0.185286	0.458713	0.460836	0.687990	0.299176	0.857332	0.787308	0.856528	0.268860	0.681459	0.472232	0.137478	0.535125	0.193315	0.215047	0.560337	0.090482	0.394692	0.946849	0.729680	0.689087	0.730192	0.093891	0.074443	0.185074	0.527129	0.186867	0.342857	0.357941	0.444791	0.961429	0.963753	0.190510	0.105181	0.174595	0.974607	0.385853	0.678613	0.502898	0.408686	0.713441	0.375744	0.686631	0.983203	0.077300	0.261143	0.504727	0.130361
5	0.314852	0.406861	0.539267	0.499326	0.667273	0.026782	0.517928	0.940142	0.549990	0.266279	0.425816	0.851867	0.256591	0.611178	0.147630	0.012874	0.617147	0.142496	0.285900	0.806676	0.850560	0.324341	0.961184	0.613855	0.183409	0.503462	0.334249	0.038321	0.881538	0.818266	0.163580	0.947463	0.138025	0.841643	0.574673	0.098619	0.535343	0.884985	0.525566	0.104959	0.752607	0.451612	0.377484	0.614007	0.464755	0.764433	0.077232	0.990502	0.834635	0.679323	0.027117	0.189850	0.116114	0.041160	0.110653	0.094743	0.792051	0.063874	0.512299	0.608474	0.890776	0.779253	0.066602	0.873012	0.444733	0.282079	0.834116	0.377192	0.289650	0.133731	0.735005	0.375045	0.356622	0.703564	0.228931	0.540799	0.739322	0.940168	0.995867	0.391693	0.507096	0.905726	0.023824	0.863065	0.115704	0.999190	0.191639	0.915884	0.362994	0.813544	0.787537	0.256615	0.057082	0.988607	0.152815	0.723801	0.265250	0.885979	0.938012	0.816635	0.405484	0.025745	0.287610	0.191988	0.362580	0.991025
6	0.661460	0.738686	0.986281	0.376620	0.041607	0.877302	0.136610	0.685665	0.603890	0.968203	0.077566	0.556647	0.623455	0.163736	0.718375	0.294679	0.610411	0.611823	0.139038	0.729640	0.678979	0.682991	0.392936	0.045266	0.798365	0.782412	0.968503	0.394757	0.260799	0.946696	0.331784	0.664646	0.926034	0.405361	0.733641	0.176308	0.091311	0.705303	0.050227	0.882834	0.532583	0.626987	0.970921	0.787679	0.508891	0.351681	0.961163	0.247090	0.391433	0.245377	0.358913	0.284582	0.930932	0.341338	0.217561	0.708114	0.466608	0.216210	0.134601	0.928911	0.516046	0.451103	0.547358	0.064487	0.370715	0.238115	0.095342	0.030505	0.817891	0.573885	0.562185	0.116063	0.755555	0.687505	0.543784	0.800812	0.600236	0.511771	0.666875	0.068601	0.216387	0.988842	0.139146	0.524704	0.634877	0.842477	0.558348	0.641681	0.884341	0.487126	0.014720	0.294507	0.119653	0.581652	0.230036	0.818106	0.929844	0.964083	0.109251	0.215650	0.619411	0.066523	0.488244	0.162452	0.045750	0.507636
7	0.448552	0.018247	0.348250	0.222624	0.353186	0.514258	0.392182	0.744741	0.063624	0.257065	0.001641	0.827300	0.760065	0.459334	0.079285	0.781147	0.160807	0.368437	0.036052	0.170515	0.424856	0.729864	0.659594	0.303278	0.983628	0.171634	0.960248	0.714378	0.076737	0.378768	0.491720	0.882613	0.689642	0.826760	0.769133	0.123590	0.003979	0.240351	0.068480	0.425376	0.754274	0.573604	0.264841	0.206586	0.547630	0.108574	0.758198	0.439023	0.780210	0.521124	0.238437	0.230715	0.459094	0.753105	0.399867	0.901388	0.878982	0.789903	0.859758	0.466433	0.220636	0.235234	0.795023	0.411476	0.788733	0.919215	0.145582	0.855233	0.925961	0.071835	0.243362	0.058075	0.420793	0.743018	0.309565	0.346737	0.614666	0.722156	0.322242	0.236155	0.054428	0.969673	0.653608	0.400440	0.247875	0.443544	0.306717	0.760466	0.141084	0.923049	0.314554	0.765359	0.864803	0.757524	0.501741	0.481783	0.354621	0.825764	0.280253	0.129985	0.427279	0.189368	0.484986	0.971255	0.248709	0.388881
8	0.649329	0.122987	0.636772	0.398837	0.839849	0.746883	0.657462	0.321370	0.906359	0.992732	0.627458	0.803752	0.458529	0.943942	0.073133	0.918967	0.411832	0.310765	0.342142	0.403717	0.465174	0.282918	0.780505	0.328169	0.072843	0.305259	0.214339	0.769417	0.082925	0.943224	0.341612	0.405577	0.751092	0.848918	0.150899	0.776112	0.803789	0.989342	0.062276	0.906810	0.824739	0.701242	0.777605	0.832729	0.479477	0.065326	0.588509	0.316054	0.886996	0.722994	0.298777	0.580267	0.528769	0.820455	0.637092	0.121204	0.435883	0.034718	0.103116	0.174807	0.025367	0.755821	0.618024	0.594856	0.835658	0.957834	0.461871	0.134910	0.874611	0.772611	0.697710	0.889548	0.202851	0.869647	0.575919	0.447772	0.149489	0.934622	0.910650	0.762891	0.566172	0.076652	0.265826	0.084715	0.502340	0.346130	0.805309	0.807315	0.867124	0.296013	0.078034	0.805046	0.657493	0.218522	0.387738	0.918667	0.773008	0.129850	0.769486	0.430107	0.084755	0.505602	0.672538	0.337631	0.271912	0.782750
9	0.052534	0.170332	0.261605	0.493589	0.887218	0.214285	0.575460	0.809228	0.420096	0.642460	0.409357	0.586867	0.622828	0.777231	0.706220	0.579848	0.993393	0.836485	0.398597	0.962308	0.999877	0.690487	0.839145	0.705595	0.741496	0.590126	0.062279	0.671689	0.352334	0.750124	0.959123	0.749913	0.828498	0.873117	0.316440	0.103982	0.717961	0.030183	0.081725	0.571949	0.374707	0.534719	0.004612	0.956290	0.801645	0.830948	0.576948	0.824046	0.586738	0.415805	0.256515	0.087139	0.476355	0.634962	0.651003	0.869954	0.793988	0.478442	0.738247	0.324842	0.525240	0.476849	0.686040	0.868350	0.078939	0.748603	0.733131	0.354283	0.340903	0.467487	0.939612	0.910936	0.960619	0.388969	0.645480	0.918520	0.169175	0.249351	0.216549	0.123213	0.668223	0.189050	0.395204	0.189802	0.743728	0.675156	0.300613	0.692025	0.972707	0.656565	0.709744	0.596214	0.107617	0.460866	0.628109	0.103878	0.457504	0.709061	0.820601	0.844167	0.554103	0.611578	0.224394	0.183446	0.396990	0.419445
10	0.218198	0.378822	0.398248	0.802194	0.875051	0.281414	0.844852	0.848836	0.166278	0.681262	0.793938	0.349795	0.122076	0.260650	0.240075	0.529974	0.199335	0.294885	0.667257	0.100639	0.990806	0.707927	0.551615	0.620080	0.516878	0.034303	0.250066	0.108874	0.303726	0.299862	0.151194	0.835645	0.423183	0.831559	0.424582	0.178926	0.558487	0.422384	0.739052	0.116577	0.242531	0.992850	0.503992	0.348139	0.497103	0.862613	0.417777	0.394842	0.714313	0.829713	0.394176	0.661841	0.817356	0.619969	0.353401	0.397795	0.958339	0.397242	0.274389	0.148828	0.734094	0.279000	0.034380	0.814179	0.253404	0.012944	0.326554	0.054337	0.944931	0.529395	0.361004	0.234500	0.712162	0.199196	0.105760	0.141207	0.830632	0.221426	0.126853	0.295495	0.403901	0.303100	0.297487	0.254726	0.210717	0.645557	0.083083	0.799971	0.936308	0.858880	0.403326	0.351472	0.106275	0.985072	0.066688	0.925402	0.823810	0.210936	0.989247	0.978224	0.029296	0.526711	0.673467	0.724798	0.843625	0.456484
