key	x1	x2	x3	y1	y2	y3
1	0.079608	0.655376	0.597763	2.000000	1.000000	1.000000
2	0.828251	0.015223	0.089672	4.000000	5.000000	5.000000
3	0.121313	0.276466	0.313673	6.000000	6.000000	0.000000
4	0.475788	0.565510	0.644284	3.000000	4.000000	0.000000
5	0.261788	0.039516	0.699007	5.000000	6.000000	6.000000
6	0.730588	0.878298	0.448283	4.000000	1.000000	4.000000
7	0.543610	0.891285	0.532630	3.000000	5.000000	2.000000
8	0.312569	0.996913	0.709924	5.000000	5.000000	4.000000
9	0.405822	0.267813	0.642581	2.000000	5.000000	3.000000
10	0.883971	0.954391	0.218327	1.000000	0.000000	3.000000
11	0.901404	0.042526	0.627776	2.000000	4.000000	6.000000
12	0.481470	0.761067	0.757865	0.000000	5.000000	4.000000
13	0.455749	0.442398	0.962569	3.000000	3.000000	5.000000
14	0.272350	0.769627	0.863199	0.000000	3.000000	3.000000
15	0.411067	0.635381	0.386610	0.000000	5.000000	3.000000
16	0.842718	0.845989	0.728882	5.000000	5.000000	6.000000
17	0.607742	0.555903	0.973348	4.000000	5.000000	1.000000
18	0.812256	0.106591	0.779962	1.000000	5.000000	2.000000
19	0.796350	0.399196	0.751612	4.000000	1.000000	2.000000
20	0.017088	0.347082	0.811742	5.000000	5.000000	1.000000
21	0.270419	0.485719	0.796748	4.000000	5.000000	3.000000
22	0.972361	0.783427	0.281737	6.000000	6.000000	5.000000
23	0.396980	0.870198	0.191432	3.000000	1.000000	6.000000
24	0.456165	0.201835	0.811377	2.000000	5.000000	0.000000
25	0.965885	0.279732	0.298513	6.000000	1.000000	6.000000
26	0.245429	0.672940	0.630709	3.000000	1.000000	6.000000
27	0.559737	0.097399	0.719087	1.000000	1.000000	1.000000
28	0.261121	0.925603	0.510402	4.000000	0.000000	0.000000
29	0.798590	0.113393	0.923963	0.000000	0.000000	4.000000
30	0.865342	0.806509	0.665982	0.000000	6.000000	0.000000
