key	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63	x64	x65	x66	x67	x68	x69	x70	x71	x72	x73	x74	x75	x76	x77	x78	x79	x80	x81	x82	x83	x84	x85	x86	x87	x88	x89	x90	x91	x92	x93	x94	x95	x96	x97	x98	x99	x100	x101	x102	x103	x104	x105	x106	x107	x108	x109	x110	x111	x112	x113	x114	x115	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23
1	0.993969	0.688544	0.204297	0.555996	0.269130	0.626481	0.016866	0.964055	0.677330	0.001018	0.370520	0.245812	0.824546	0.641276	0.814316	0.268586	0.267785	0.013740	0.067919	0.097092	0.964145	0.608233	0.035872	0.865937	0.637350	0.808982	0.851313	0.397398	0.034640	0.301194	0.166894	0.980722	0.285768	0.000474	0.917806	0.032784	0.981586	0.741907	0.556252	0.506940	0.829164	0.626906	0.541228	0.833954	0.654591	0.096456	0.357938	0.885299	0.723422	0.273417	0.905628	0.859713	0.764752	0.675493	0.031147	0.731905	0.195830	0.653433	0.181320	0.464427	0.413465	0.522380	0.375960	0.691785	0.101698	0.736109	0.435469	0.635693	0.224910	0.050676	0.541354	0.046675	0.894272	0.254293	0.485951	0.144258	0.612951	0.705459	0.637206	0.273063	0.570923	0.475518	0.653626	0.052587	0.473852	0.164688	0.572776	0.038893	0.099069	0.461139	0.937911	0.207062	0.948115	0.810216	0.805110	0.087100	0.120437	0.322816	0.346009	0.908282	0.119777	0.231664	0.041077	0.405077	0.956849	0.234315	0.203842	0.169325	0.098603	0.535416	0.503023	0.945003	0.207152	0.309052	0.196358	0.375167	0.516461	0.952553	0.320672	0.206672	0.511978	0.240446	0.083039	0.949032	0.440221	0.234022	0.414272	0.190230	0.620618	0.805867	0.867929	0.559355	0.524938	0.575376	0.993108	0.348382	0.033734	0.383363
2	0.364088	0.839887	0.919607	0.721121	0.299606	0.554163	0.404465	0.993953	0.457620	0.116298	0.208369	0.997584	0.153927	0.250805	0.040014	0.653382	0.160242	0.235133	0.945943	0.273330	0.750062	0.448037	0.036380	0.462731	0.240677	0.877996	0.592884	0.301809	0.612401	0.345803	0.142219	0.833555	0.513739	0.346681	0.916672	0.848369	0.929530	0.712073	0.581788	0.383786	0.554247	0.737226	0.101878	0.507165	0.925598	0.515693	0.649732	0.691172	0.155073	0.287601	0.064825	0.586267	0.547384	0.146443	0.601968	0.155855	0.384247	0.777080	0.394778	0.415627	0.956091	0.732039	0.442213	0.193893	0.055916	0.146230	0.633159	0.864041	0.921561	0.677860	0.369227	0.867747	0.578342	0.612312	0.835513	0.121547	0.192795	0.858308	0.978614	0.207776	0.236485	0.088687	0.904763	0.423541	0.572028	0.852540	0.586401	0.538444	0.212440	0.163703	0.050993	0.998529	0.824352	0.600908	0.036748	0.633817	0.727675	0.817848	0.427340	0.743571	0.777986	0.827382	0.607968	0.305402	0.155576	0.887510	0.668300	0.631111	0.432151	0.495878	0.927920	0.658137	0.590599	0.894499	0.600379	0.802507	0.619356	0.982470	0.278922	0.458560	0.933728	0.863693	0.918454	0.762680	0.938746	0.242887	0.136409	0.190664	0.897267	0.036576	0.871360	0.155479	0.696274	0.848693	0.556987	0.084222	0.638079	0.097314
3	0.405953	0.413520	0.122042	0.200365	0.165038	0.572315	0.132562	0.730195	0.982416	0.468876	0.733700	0.219234	0.336620	0.482568	0.882069	0.582467	0.230774	0.099029	0.800935	0.683532	0.900217	0.860087	0.638252	0.967362	0.056627	0.251926	0.094910	0.911609	0.060216	0.190779	0.105616	0.857400	0.424288	0.899312	0.991692	0.228718	0.852722	0.127117	0.128864	0.795014	0.219400	0.977387	0.382567	0.474169	0.480776	0.612925	0.724302	0.951071	0.373730	0.048956	0.168791	0.460561	0.845657	0.739073	0.328053	0.871677	0.854500	0.499786	0.917792	0.917876	0.080469	0.502630	0.771701	0.093516	0.781678	0.448171	0.619579	0.198266	0.714549	0.550408	0.616262	0.215944	0.857024	0.210892	0.397073	0.309573	0.423327	0.257959	0.062185	0.997252	0.301628	0.477397	0.648232	0.015266	0.981848	0.059098	0.531517	0.354582	0.847485	0.870458	0.289207	0.997674	0.953989	0.424064	0.549952	0.863841	0.581844	0.030962	0.484419	0.260869	0.138120	0.495932	0.067199	0.680961	0.904177	0.544339	0.741414	0.924238	0.830329	0.939052	0.123283	0.785681	0.447283	0.953662	0.005833	0.136194	0.408770	0.498289	0.756832	0.605989	0.666270	0.622423	0.709338	0.487941	0.311975	0.968355	0.721094	0.095615	0.067661	0.477963	0.063224	0.869096	0.641616	0.019968	0.209249	0.230854	0.489709	0.189646
4	0.718782	0.638151	0.249694	0.931064	0.251341	0.371794	0.079521	0.917519	0.211257	0.221413	0.808092	0.511456	0.824257	0.898805	0.789834	0.685594	0.082781	0.892105	0.039128	0.009125	0.381203	0.322470	0.811701	0.212869	0.399380	0.559155	0.104656	0.634459	0.359336	0.807594	0.985715	0.842194	0.557062	0.483295	0.098210	0.985209	0.809190	0.526370	0.213097	0.843891	0.214286	0.343773	0.477553	0.656100	0.870967	0.994140	0.714168	0.434852	0.986311	0.420588	0.840075	0.655910	0.399578	0.810156	0.227165	0.947828	0.144589	0.514730	0.108783	0.334848	0.214038	0.246314	0.523974	0.603372	0.023564	0.105309	0.805691	0.838141	0.078241	0.988542	0.234275	0.078815	0.211902	0.982841	0.810985	0.800116	0.136448	0.146413	0.201483	0.478816	0.297888	0.019078	0.707892	0.621226	0.089985	0.164240	0.344824	0.826263	0.391362	0.791311	0.635178	0.451794	0.590163	0.995411	0.687617	0.066683	0.538863	0.102823	0.978108	0.185296	0.744482	0.682158	0.597844	0.607585	0.514926	0.739002	0.688519	0.615455	0.121376	0.260503	0.416498	0.966076	0.030852	0.057834	0.863621	0.114174	0.715781	0.512823	0.693939	0.427637	0.707848	0.068220	0.023898	0.503335	0.150596	0.352186	0.934115	0.599280	0.386550	0.539216	0.399654	0.194104	0.582421	0.597766	0.960822	0.311581	0.441648	0.941896
5	0.517154	0.524768	0.472397	0.864703	0.914189	0.166957	0.629913	0.650334	0.601567	0.522486	0.289304	0.543590	0.202480	0.626832	0.414557	0.974134	0.646157	0.550542	0.137921	0.616171	0.814932	0.509805	0.686757	0.627085	0.101755	0.524360	0.232883	0.897150	0.044728	0.387026	0.812558	0.127317	0.805746	0.707176	0.669245	0.756004	0.571167	0.992852	0.230888	0.245791	0.592766	0.736166	0.420366	0.139960	0.440953	0.543889	0.544258	0.741309	0.485205	0.388199	0.714664	0.918031	0.225916	0.063976	0.679780	0.039426	0.540197	0.887153	0.973868	0.582279	0.473771	0.747330	0.546383	0.158256	0.089211	0.659385	0.469884	0.717155	0.286350	0.331264	0.347801	0.655255	0.310233	0.880487	0.904784	0.681606	0.644025	0.853000	0.333316	0.354265	0.536581	0.217331	0.195757	0.105802	0.366996	0.608896	0.625542	0.522142	0.823873	0.264453	0.024790	0.698275	0.454134	0.530678	0.480983	0.533463	0.626858	0.682322	0.681440	0.273461	0.235743	0.092111	0.654475	0.170774	0.499714	0.543788	0.152520	0.349079	0.740709	0.573098	0.750678	0.202924	0.022533	0.062769	0.305246	0.740672	0.093347	0.373990	0.276220	0.995846	0.436040	0.816281	0.890679	0.890499	0.762614	0.156887	0.518909	0.623147	0.651991	0.241132	0.844215	0.331144	0.674519	0.614819	0.919171	0.356468	0.557635	0.975107
6	0.687006	0.320658	0.699939	0.149158	0.802418	0.804017	0.054088	0.828541	0.547063	0.002623	0.347907	0.044133	0.515919	0.999904	0.343690	0.626456	0.819347	0.200836	0.334199	0.419750	0.932577	0.287489	0.993166	0.050077	0.509630	0.927462	0.434888	0.964452	0.043095	0.448587	0.261324	0.550481	0.545074	0.731683	0.462068	0.381395	0.988248	0.074381	0.024399	0.584556	0.893982	0.782722	0.766310	0.192296	0.223679	0.972769	0.267478	0.780159	0.265132	0.659675	0.137938	0.138879	0.067518	0.990754	0.431990	0.705485	0.811021	0.519334	0.228953	0.822207	0.807987	0.971008	0.965190	0.643577	0.672961	0.037043	0.740216	0.016275	0.711181	0.417915	0.030221	0.446057	0.196169	0.050102	0.147643	0.873476	0.163715	0.709189	0.330687	0.461072	0.621295	0.472199	0.594155	0.461648	0.546487	0.322560	0.016136	0.488936	0.464727	0.633674	0.776304	0.580540	0.423865	0.793023	0.060670	0.959375	0.246455	0.714208	0.345998	0.569811	0.113418	0.457058	0.701578	0.651739	0.110042	0.236069	0.998313	0.067314	0.369288	0.576029	0.884628	0.930200	0.559689	0.487005	0.025778	0.705976	0.116611	0.591718	0.973917	0.987796	0.573061	0.261654	0.703195	0.264852	0.698027	0.114380	0.374359	0.907452	0.907832	0.785614	0.952884	0.306810	0.615654	0.125865	0.522240	0.973601	0.544317	0.684615
7	0.188982	0.740608	0.402911	0.586646	0.385800	0.049857	0.701386	0.435149	0.658253	0.842486	0.108049	0.084489	0.563393	0.257166	0.318121	0.184829	0.886405	0.323239	0.609931	0.763628	0.517323	0.983282	0.864652	0.621718	0.105202	0.114413	0.111576	0.250251	0.190841	0.486574	0.166445	0.260699	0.814422	0.463220	0.348569	0.773669	0.717691	0.011075	0.366296	0.575572	0.402865	0.956232	0.135067	0.943213	0.059867	0.675984	0.300388	0.404276	0.839808	0.759339	0.759697	0.111209	0.334496	0.354109	0.477948	0.533023	0.817017	0.227145	0.452086	0.895011	0.272644	0.676474	0.760993	0.345558	0.721085	0.428114	0.044871	0.310814	0.022666	0.068077	0.675532	0.694528	0.663006	0.298736	0.063673	0.392810	0.848202	0.385402	0.680425	0.246623	0.522254	0.535867	0.343254	0.269346	0.631506	0.882531	0.870215	0.150394	0.369729	0.797225	0.161950	0.671956	0.682956	0.717407	0.243717	0.156679	0.764422	0.512650	0.731507	0.701838	0.713909	0.357460	0.770147	0.966808	0.431954	0.958451	0.940401	0.650453	0.325958	0.693237	0.264226	0.807577	0.358582	0.205118	0.280940	0.137658	0.675573	0.042964	0.723505	0.304532	0.472736	0.496344	0.756368	0.858754	0.636117	0.103309	0.021057	0.107464	0.930858	0.635825	0.814198	0.365557	0.649353	0.867736	0.155521	0.219406	0.977437	0.223806
8	0.504129	0.388165	0.559042	0.231392	0.453353	0.274091	0.697957	0.316742	0.569226	0.178256	0.350318	0.483646	0.805702	0.749064	0.228644	0.675222	0.592518	0.371707	0.136877	0.800106	0.266229	0.930726	0.499147	0.248057	0.524326	0.359582	0.111913	0.872581	0.498039	0.084152	0.475445	0.837465	0.965659	0.590122	0.605711	0.081895	0.471108	0.679238	0.356557	0.387884	0.993540	0.395831	0.013832	0.041120	0.650365	0.726065	0.003485	0.572458	0.253545	0.137025	0.035051	0.429231	0.383323	0.714390	0.665582	0.776864	0.313549	0.771127	0.973474	0.549197	0.283242	0.628238	0.176042	0.304878	0.446613	0.858157	0.706336	0.354625	0.431049	0.842732	0.235209	0.834204	0.743983	0.585226	0.524723	0.724274	0.188727	0.258361	0.167386	0.307056	0.321769	0.473814	0.870323	0.026472	0.998017	0.399393	0.987384	0.245066	0.231897	0.563611	0.795231	0.349743	0.875682	0.331183	0.943930	0.019037	0.341229	0.232170	0.058151	0.849810	0.933460	0.808979	0.744306	0.277311	0.169543	0.490972	0.917455	0.111497	0.190234	0.491719	0.917869	0.686220	0.400266	0.818559	0.333148	0.457581	0.103971	0.275530	0.531368	0.023699	0.266602	0.131146	0.908612	0.133685	0.568000	0.262211	0.184389	0.415343	0.077394	0.532998	0.064161	0.490967	0.608672	0.677500	0.145355	0.277266	0.519397	0.512048
9	0.937406	0.538800	0.709950	0.766977	0.592115	0.479665	0.513537	0.119062	0.345448	0.566052	0.628444	0.407423	0.778824	0.719901	0.871964	0.668114	0.768217	0.176044	0.206010	0.708519	0.865157	0.477960	0.701792	0.925970	0.552340	0.053026	0.563294	0.983654	0.100578	0.907634	0.322117	0.361177	0.826239	0.700231	0.369075	0.385384	0.091478	0.409905	0.874219	0.045318	0.926097	0.125516	0.592274	0.693311	0.154613	0.963156	0.684026	0.490270	0.687824	0.937532	0.382525	0.010185	0.262904	0.281327	0.345123	0.189062	0.861549	0.062553	0.943050	0.616025	0.671973	0.698158	0.029916	0.013232	0.301895	0.275926	0.421621	0.020986	0.592395	0.926331	0.187752	0.528256	0.934538	0.962218	0.961018	0.886433	0.251859	0.238809	0.429109	0.937793	0.784655	0.032033	0.115498	0.094500	0.523577	0.342923	0.526034	0.667697	0.221357	0.401825	0.843967	0.459525	0.291320	0.611073	0.471861	0.869567	0.568210	0.456064	0.873011	0.280139	0.563446	0.322740	0.190146	0.960840	0.344894	0.562157	0.003841	0.332658	0.357913	0.469421	0.117434	0.972724	0.362667	0.323349	0.215925	0.448259	0.028187	0.211014	0.659236	0.879362	0.431873	0.312424	0.108849	0.131885	0.708878	0.948553	0.560218	0.521816	0.752860	0.775338	0.883134	0.788177	0.503976	0.585407	0.929927	0.767765	0.239280	0.331357
10	0.212120	0.515694	0.864339	0.925113	0.884573	0.844307	0.438237	0.546424	0.221223	0.854712	0.810927	0.811180	0.459882	0.654361	0.883025	0.427048	0.478957	0.887599	0.346914	0.327458	0.389946	0.087973	0.307081	0.776414	0.604347	0.519595	0.844789	0.268307	0.810861	0.347381	0.792029	0.460142	0.311228	0.943981	0.070485	0.500397	0.318039	0.813662	0.030315	0.441177	0.036915	0.052270	0.758584	0.001527	0.049345	0.588612	0.504879	0.068626	0.592431	0.919089	0.844369	0.935965	0.867826	0.554074	0.719888	0.379907	0.398754	0.104863	0.666829	0.574560	0.303465	0.925843	0.713054	0.116750	0.878448	0.056341	0.189147	0.087669	0.888872	0.533389	0.706177	0.098316	0.815820	0.707323	0.006933	0.809891	0.086013	0.234682	0.674180	0.313936	0.597984	0.286606	0.495946	0.961668	0.510078	0.236958	0.493962	0.069140	0.107369	0.916451	0.783056	0.126125	0.446742	0.118137	0.103698	0.117878	0.705066	0.592510	0.109505	0.733226	0.529468	0.643781	0.035188	0.909056	0.469182	0.256340	0.080066	0.013248	0.564094	0.036489	0.411955	0.646289	0.280107	0.535164	0.464605	0.039977	0.793673	0.080733	0.111235	0.979982	0.951503	0.742276	0.133596	0.713419	0.773722	0.748578	0.312469	0.196770	0.364554	0.241768	0.025568	0.367728	0.422792	0.488259	0.581211	0.274740	0.774327	0.918751
