key	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63	x64	x65	x66	x67	x68	x69	x70	x71	x72	x73	x74	x75	x76	x77	x78	x79	x80	x81	x82	x83	x84	x85	x86	x87	x88	x89	x90	x91	x92	x93	x94	x95	x96	x97	x98	x99	x100	x101	x102	x103	x104	x105	x106	x107	x108	x109	x110	x111	x112	x113	x114	x115	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23
1	0.510949	0.548243	0.533400	0.979782	0.135640	0.016056	0.468186	0.819479	0.092211	0.271925	0.019149	0.794895	0.814296	0.579464	0.213384	0.050302	0.059290	0.227075	0.549671	0.932630	0.952488	0.244020	0.630073	0.819857	0.522977	0.598989	0.437437	0.701155	0.444534	0.293014	0.124422	0.443298	0.579722	0.899273	0.179234	0.227594	0.977592	0.851877	0.913625	0.168021	0.253667	0.965032	0.346277	0.115764	0.664510	0.142563	0.952558	0.658122	0.343315	0.282025	0.704763	0.322672	0.146084	0.879172	0.188839	0.060348	0.610035	0.837271	0.056582	0.044169	0.576846	0.962058	0.017256	0.620895	0.805451	0.064591	0.081194	0.226349	0.124378	0.210715	0.883014	0.261762	0.432562	0.285033	0.620934	0.411160	0.816618	0.888056	0.483783	0.143025	0.840349	0.580358	0.241874	0.332367	0.879081	0.760066	0.541448	0.741840	0.349479	0.478770	0.701976	0.994696	0.694994	0.318407	0.686324	0.432418	0.498579	0.449971	0.813388	0.174581	0.559750	0.886601	0.810840	0.072092	0.951996	0.026248	0.550266	0.394230	0.038692	0.036499	0.613658	0.517378	0.699268	0.839598	0.671128	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000
2	0.553152	0.866251	0.295177	0.511759	0.375711	0.461333	0.729438	0.506341	0.089749	0.745164	0.442484	0.529918	0.348076	0.143593	0.176148	0.631975	0.027835	0.948761	0.441044	0.674737	0.289963	0.132733	0.448118	0.852721	0.538297	0.866679	0.023289	0.072566	0.923607	0.562545	0.860259	0.306670	0.730845	0.643681	0.811119	0.931336	0.846479	0.252811	0.430522	0.890506	0.650523	0.244647	0.253865	0.884224	0.015409	0.660291	0.028247	0.150846	0.959530	0.793951	0.587479	0.520441	0.899591	0.298526	0.532157	0.911220	0.195175	0.066111	0.341488	0.347636	0.425355	0.831201	0.488826	0.073684	0.335090	0.714810	0.022187	0.020692	0.493044	0.692721	0.470957	0.477848	0.663246	0.200137	0.404479	0.338677	0.872394	0.719062	0.677627	0.445449	0.172109	0.613931	0.034063	0.987442	0.791088	0.572275	0.741128	0.452300	0.212019	0.375323	0.164938	0.984443	0.100368	0.971488	0.473323	0.845133	0.154750	0.650050	0.494499	0.819377	0.107262	0.920039	0.837609	0.882854	0.928386	0.730920	0.377445	0.203286	0.716233	0.607035	0.128495	0.402478	0.097336	0.367202	0.227382	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000
3	0.471233	0.930458	0.093304	0.072276	0.054152	0.988804	0.151079	0.004739	0.256621	0.500692	0.026969	0.491707	0.421528	0.959564	0.654424	0.116967	0.325535	0.330127	0.960375	0.824815	0.016578	0.865148	0.676330	0.018448	0.485983	0.653220	0.232747	0.663081	0.994676	0.582414	0.872106	0.597140	0.234735	0.441202	0.995406	0.753508	0.475570	0.555614	0.585419	0.279675	0.288970	0.294119	0.495997	0.576725	0.822126	0.981658	0.946617	0.156445	0.690086	0.490213	0.772626	0.614130	0.788914	0.416820	0.173527	0.302898	0.253747	0.782565	0.933022	0.250920	0.933631	0.773309	0.260338	0.640906	0.213981	0.649680	0.037742	0.816222	0.702346	0.352722	0.502943	0.404468	0.590600	0.780087	0.758574	0.470484	0.119201	0.346338	0.981846	0.219973	0.647986	0.131615	0.178493	0.875316	0.383595	0.184046	0.349520	0.497699	0.576958	0.021349	0.403988	0.436542	0.564751	0.052337	0.587842	0.971220	0.091883	0.472287	0.499306	0.019408	0.664257	0.250247	0.814071	0.970382	0.616292	0.058789	0.288190	0.946240	0.116385	0.981282	0.535185	0.033681	0.902840	0.514695	0.964886	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000
4	0.535683	0.163914	0.331244	0.516419	0.116338	0.017103	0.708095	0.970172	0.710931	0.900076	0.678316	0.335388	0.040213	0.729552	0.924411	0.252094	0.896355	0.110432	0.352761	0.169551	0.415373	0.916517	0.923826	0.180376	0.563037	0.966555	0.556079	0.551022	0.593625	0.269974	0.516834	0.845679	0.139690	0.442506	0.774830	0.625481	0.498476	0.306190	0.062806	0.244936	0.584766	0.166412	0.695473	0.098767	0.438506	0.323407	0.027783	0.802160	0.449951	0.837492	0.773357	0.566015	0.767280	0.741705	0.929832	0.462906	0.036823	0.245250	0.425137	0.373336	0.986167	0.263906	0.214027	0.720059	0.529850	0.783147	0.212912	0.298816	0.967004	0.821458	0.298068	0.494180	0.117730	0.833985	0.304469	0.565476	0.484436	0.657543	0.487648	0.653434	0.768069	0.197202	0.502456	0.038134	0.828348	0.660416	0.259320	0.722536	0.155208	0.309047	0.498493	0.943679	0.431035	0.385681	0.672932	0.202207	0.839584	0.704863	0.927286	0.227509	0.733340	0.118993	0.079758	0.617722	0.241954	0.518128	0.597661	0.746788	0.061515	0.565835	0.756044	0.114351	0.188081	0.823804	0.567236	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000
5	0.811827	0.391260	0.635231	0.122628	0.137346	0.727894	0.839322	0.136839	0.047704	0.751549	0.206853	0.919456	0.919847	0.404779	0.329482	0.443766	0.562501	0.313850	0.199926	0.621529	0.854236	0.358202	0.975825	0.327533	0.473746	0.148851	0.781851	0.015131	0.253495	0.646618	0.232328	0.688108	0.030162	0.026259	0.935748	0.362069	0.311239	0.924249	0.489561	0.763071	0.444592	0.460933	0.880723	0.206763	0.762289	0.474082	0.632527	0.484220	0.224131	0.696457	0.103011	0.241260	0.395357	0.660299	0.950874	0.501875	0.299845	0.480743	0.558542	0.295341	0.613748	0.538129	0.281697	0.569010	0.250234	0.874167	0.764158	0.007547	0.232082	0.553066	0.231841	0.710258	0.208412	0.476568	0.379557	0.527120	0.339539	0.251632	0.956802	0.996542	0.979712	0.888485	0.241471	0.287215	0.954918	0.600580	0.842124	0.200310	0.595709	0.199286	0.564868	0.193810	0.233899	0.554530	0.096870	0.248416	0.500366	0.940712	0.801363	0.382811	0.014235	0.002032	0.060945	0.881616	0.590643	0.462291	0.527777	0.844644	0.938041	0.819961	0.352251	0.100146	0.524074	0.700510	0.039117	1.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	0.000000	0.000000
6	0.651390	0.490342	0.064539	0.615665	0.667187	0.731198	0.304188	0.592677	0.610122	0.256276	0.345936	0.986182	0.314413	0.594394	0.925874	0.692899	0.411410	0.469902	0.197390	0.014449	0.561680	0.522702	0.324625	0.666645	0.145161	0.024686	0.368986	0.389745	0.940929	0.612012	0.960947	0.846004	0.341117	0.239147	0.774456	0.846785	0.827725	0.947736	0.615377	0.019179	0.216034	0.316235	0.275910	0.950523	0.019794	0.701466	0.218142	0.447168	0.708251	0.156466	0.207918	0.987040	0.522417	0.458490	0.496467	0.414324	0.372477	0.102135	0.214658	0.104436	0.205473	0.115009	0.774401	0.780698	0.142195	0.303721	0.552192	0.624240	0.201649	0.116370	0.548213	0.197987	0.794220	0.565451	0.958307	0.745702	0.017130	0.307391	0.286041	0.066478	0.952906	0.556186	0.945313	0.690962	0.818584	0.614731	0.815790	0.299642	0.850735	0.916571	0.589744	0.705140	0.721309	0.559436	0.480201	0.455383	0.895249	0.092352	0.243134	0.518561	0.324777	0.002183	0.508528	0.257818	0.950289	0.891833	0.443670	0.573290	0.079548	0.989153	0.171673	0.946516	0.380655	0.211837	0.103581	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000
7	0.619700	0.225310	0.051319	0.253348	0.191198	0.035845	0.965332	0.114133	0.488680	0.102279	0.874629	0.307818	0.450833	0.222096	0.551345	0.817515	0.666155	0.560937	0.496152	0.494256	0.845820	0.140202	0.999082	0.306907	0.040076	0.581104	0.509199	0.128655	0.193499	0.617065	0.241836	0.012126	0.401320	0.619565	0.472955	0.673292	0.935362	0.198299	0.821501	0.678183	0.736207	0.761221	0.500652	0.135214	0.261873	0.171110	0.458931	0.515835	0.074748	0.819983	0.528261	0.050990	0.796161	0.735660	0.148152	0.246430	0.903247	0.036477	0.751975	0.786045	0.224171	0.716244	0.502887	0.748127	0.353459	0.404998	0.212453	0.232966	0.523169	0.244433	0.494321	0.568397	0.941734	0.786692	0.674906	0.644032	0.098587	0.849054	0.108142	0.344400	0.641644	0.589827	0.286698	0.747719	0.451307	0.007347	0.261408	0.412118	0.863290	0.082613	0.196144	0.527034	0.707039	0.188437	0.104900	0.552345	0.027294	0.085357	0.640129	0.333959	0.998881	0.823192	0.839955	0.767507	0.595841	0.922851	0.875736	0.934506	0.113937	0.161633	0.829290	0.234291	0.855772	0.521615	0.964956	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000
8	0.556968	0.245641	0.350300	0.907183	0.941871	0.537145	0.974170	0.210728	0.474191	0.662375	0.938105	0.037439	0.809483	0.163844	0.914249	0.977107	0.369680	0.768195	0.912800	0.633295	0.980143	0.402276	0.388923	0.042912	0.650914	0.836297	0.391843	0.956437	0.600438	0.041608	0.452728	0.796311	0.450862	0.362547	0.214113	0.551708	0.216217	0.797824	0.099382	0.984442	0.667602	0.171047	0.741173	0.317442	0.434391	0.849663	0.646969	0.950708	0.331406	0.223884	0.903950	0.505916	0.267364	0.097195	0.229439	0.778584	0.284155	0.617353	0.553615	0.325358	0.671222	0.614757	0.186411	0.801730	0.238927	0.353275	0.305212	0.279249	0.199704	0.841226	0.211607	0.642509	0.253892	0.694220	0.719689	0.398970	0.735829	0.442087	0.083897	0.495303	0.648451	0.449254	0.540659	0.360952	0.122183	0.626236	0.358285	0.881315	0.320491	0.299583	0.797191	0.020054	0.404849	0.255224	0.844523	0.750253	0.831984	0.028258	0.234906	0.253105	0.821643	0.944557	0.652543	0.642147	0.619564	0.138819	0.876580	0.745848	0.632981	0.897928	0.375024	0.659241	0.952697	0.991438	0.034550	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000
9	0.155154	0.756240	0.315461	0.299549	0.163046	0.541167	0.249093	0.626415	0.035287	0.540974	0.980442	0.303664	0.041780	0.863299	0.340188	0.126791	0.864294	0.984242	0.676360	0.248778	0.662471	0.952276	0.579942	0.908990	0.277067	0.151161	0.035321	0.777294	0.582914	0.662335	0.983165	0.308469	0.497678	0.704899	0.897718	0.313626	0.697689	0.108962	0.357823	0.475710	0.616782	0.255726	0.380329	0.387957	0.495669	0.174715	0.055079	0.848402	0.179989	0.706163	0.399719	0.747981	0.528320	0.172000	0.521725	0.445362	0.762018	0.094482	0.689096	0.220819	0.645955	0.721949	0.343735	0.238237	0.696567	0.331911	0.706590	0.785841	0.691933	0.622495	0.042146	0.226723	0.813344	0.229068	0.757435	0.435868	0.250138	0.169307	0.730862	0.069956	0.013410	0.057472	0.925059	0.626804	0.762276	0.702703	0.158824	0.829114	0.222167	0.415803	0.449940	0.354767	0.170605	0.793027	0.587523	0.198792	0.785069	0.507450	0.870269	0.512260	0.341865	0.545239	0.498611	0.241958	0.815604	0.795959	0.791955	0.435027	0.942625	0.476583	0.988283	0.344372	0.443546	0.692929	0.109739	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000
10	0.560031	0.997314	0.647610	0.498424	0.233481	0.140043	0.989146	0.127572	0.425237	0.682899	0.451448	0.217790	0.939166	0.936688	0.421334	0.611078	0.803177	0.791377	0.335082	0.479385	0.623374	0.483365	0.010435	0.149541	0.538976	0.611645	0.705428	0.486232	0.112897	0.123580	0.243056	0.956061	0.906411	0.297479	0.518639	0.119574	0.320882	0.405860	0.549821	0.689152	0.697507	0.988432	0.933952	0.479586	0.342253	0.390858	0.231305	0.759425	0.808921	0.198549	0.692973	0.231627	0.024684	0.820277	0.829024	0.654316	0.548213	0.368118	0.230361	0.653923	0.190435	0.149920	0.830719	0.499551	0.637841	0.430164	0.660090	0.559531	0.080868	0.542596	0.313668	0.527069	0.567554	0.681547	0.313503	0.323656	0.570806	0.193753	0.650652	0.351259	0.471065	0.618645	0.408778	0.962622	0.978824	0.225981	0.386286	0.274776	0.846584	0.338400	0.071200	0.383286	0.532577	0.821527	0.292384	0.975470	0.049174	0.853174	0.987953	0.525323	0.505340	0.723514	0.483842	0.565804	0.878260	0.233472	0.390916	0.239726	0.865858	0.915981	0.725673	0.430570	0.472672	0.353020	0.991596	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000
